           1   -0.410223   -0.410223           0
           2   -0.380933   -0.395578    0.014645
           3   -0.346626    -0.37926   0.0183779
           4   -0.329618    -0.36685   0.0179694
           5   -0.324273   -0.358334   0.0163172
           6   -0.354718   -0.357732   0.0133365
           7   -0.371851   -0.359749   0.0114505
           8   -0.381585   -0.362478   0.0102852
           9   -0.392808   -0.365848   0.0096765
          10   -0.403785   -0.369642  0.00944985
          11   -0.403066    -0.37268  0.00907174
          12   -0.394152    -0.37447  0.00847242
          13   -0.403085   -0.376671  0.00809838
          14   -0.424228   -0.380068  0.00823126
          15   -0.444856   -0.384387  0.00879632
          16   -0.454764   -0.388786  0.00933009
          17   -0.505893   -0.395674   0.0111473
          18   -0.514013   -0.402249   0.0123967
          19   -0.490823    -0.40691   0.0126188
          20   -0.495685   -0.411349   0.0127676
