           1    -3.24752    -3.24752           0
           2    -3.24715    -3.24733 0.000188367
           3    -3.25134    -3.24867  0.00134137
           4    -3.25273    -3.24969  0.00138868
           5    -3.24919    -3.24959  0.00108018
           6    -3.25177    -3.24995 0.000953772
           7    -3.25058    -3.25004 0.000811069
           8    -3.25163    -3.25024 0.000729945
           9    -3.25367    -3.25062 0.000747934
          10    -3.25224    -3.25078 0.000688387
          11    -3.25023    -3.25073 0.000624681
          12    -3.25001    -3.25067  0.00057339
          13    -3.25097    -3.25069 0.000527926
          14    -3.24683    -3.25042 0.000561274
          15    -3.24975    -3.25037 0.000524419
          16    -3.24911    -3.25029 0.000496908
          17    -3.25129    -3.25035 0.000470403
          18    -3.24991    -3.25033 0.000444167
          19    -3.24968    -3.25029 0.000421536
          20    -3.25085    -3.25032 0.000400871
