           1     1.09398     1.09398           0
           2     1.11423     1.10411   0.0101223
           3     1.12408     1.11076  0.00885821
           4      1.1166     1.11222   0.0064311
           5     1.13413      1.1166  0.00663491
           6     1.14816     1.12186  0.00755047
           7     1.11625     1.12106  0.00643142
           8     1.11748     1.12061  0.00558778
           9     1.08615     1.11678  0.00624098
          10     1.12898       1.118  0.00571383
          11     1.10692       1.117   0.0052657
          12     1.09172     1.11489  0.00524806
          13     1.09126     1.11307  0.00515833
          14     1.05628     1.10902  0.00626629
          15      1.1437     1.11133  0.00627506
          16     1.09401     1.11025  0.00596875
          17     1.11541     1.11055   0.0056149
          18     1.05234     1.10732  0.00620334
          19     1.13171      1.1086  0.00600661
          20     1.10446     1.10839  0.00570213
