           1    -3.35731    -3.35731           0
           2    -3.35901    -3.35816 0.000849615
           3     -3.3634    -3.35991    0.001814
           4    -3.36051    -3.36006  0.00129146
           5    -3.36123    -3.36029  0.00102762
           6    -3.36138    -3.36047 0.000858448
           7    -3.36172    -3.36065 0.000746996
           8    -3.36187     -3.3608 0.000664737
           9    -3.36381    -3.36114 0.000674772
          10    -3.36241    -3.36126 0.000616712
          11    -3.36015    -3.36116 0.000566963
          12    -3.35936    -3.36101 0.000538831
          13    -3.35831    -3.36081 0.000537471
          14    -3.35996    -3.36074 0.000501289
          15    -3.35927    -3.36065 0.000476952
          16    -3.36411    -3.36086  0.00049583
          17    -3.36445    -3.36107 0.000511346
          18    -3.36021    -3.36103 0.000484473
          19    -3.35896    -3.36092  0.00047097
          20    -3.36055     -3.3609  0.00044718
