           1    -4.99829    -4.99829           0
           2    -5.03035    -5.01432   0.0160331
           3    -5.04952    -5.02605   0.0149439
           4     -5.0354    -5.02839   0.0108223
           5    -5.06243     -5.0352   0.0107997
           6    -5.08362    -5.04327   0.0119537
           7     -5.0361    -5.04224   0.0101545
           8    -5.03809    -5.04172  0.00880938
           9    -4.99303    -5.03631  0.00946726
          10    -5.05588    -5.03827  0.00869088
          11    -5.02053    -5.03666  0.00802498
          12    -4.99695    -5.03335  0.00803846
          13     -4.9952    -5.03041  0.00795521
          14    -4.94437    -5.02427  0.00959271
          15    -5.07481    -5.02764  0.00954489
          16    -5.00512    -5.02623  0.00903865
          17    -5.03757     -5.0269  0.00851649
          18    -4.93872      -5.022  0.00940571
          19    -5.05653    -5.02382  0.00908063
          20    -5.01724    -5.02349  0.00862092
