          20     70.7817     65.4159     4.32259
          20     37.3668     39.8327     1.59182
          20     26.8468     24.3327    0.626873
          20      14.688     14.6353    0.178472
          20     10.1652     10.2631    0.172567
          20     8.54796     7.45134    0.114079
          20       6.189     5.54424   0.0806015
          20     4.37754      4.4546   0.0515662
          20     3.67874     3.53607   0.0354597
          20     2.86813      2.9799   0.0225674
          20     2.46895     2.55537   0.0217049
          20     2.30223     2.19423   0.0206308
          20     1.92611     1.91126   0.0153971
          20     1.70154     1.67685    0.011142
          20     1.52937     1.51158  0.00808227
          20     1.38749     1.37006  0.00901468
