          20    0.883192    0.880005   0.0152543
          20     0.75524    0.646684    0.023953
          20     0.48352     0.46135   0.0100744
          20    0.249384    0.285444   0.0109741
          20     0.20764    0.196946  0.00660068
          20    0.144196    0.140935  0.00320613
          20     0.11598    0.111646  0.00491751
          20     0.07734   0.0823388  0.00260468
          20    0.082324   0.0709592  0.00259718
          20    0.064772   0.0581002  0.00215862
          20     0.04948   0.0500996   0.0012706
          20    0.039112   0.0442042  0.00178745
          20    0.033976    0.040093  0.00137966
          20    0.023216   0.0366138  0.00160077
          20     0.01738   0.0297604   0.0015392
          20    0.024924   0.0286534  0.00158213
